"idFluxoDifusivo";"idCampanha";"idSitio";"batimetria";"intervalo";"CH4";"CO2";"dataMedida";"horaMedida"
"90";"1007";"10103";"44";"0 a 0.5";"6.5940299034";"13.642100334";"2004-03-22";\N
"91";"1007";"10104";"44";"0 a 0.5";"-5.319769859";"15.274000168";"2004-03-22";\N
"92";"1007";"10105";"23.299999237";"0 a 0.5";"20.113599777";"37.748901367";"2004-03-23";\N
"93";"1007";"10106";"14.199999809";"0 a 0.5";"1.2703499794";"21.152900696";"2004-03-24";\N
"94";"1007";"10107";"8.6999998093";"0 a 0.5";"0";"-0.103050999";"2004-03-24";\N
"95";"1007";"10108";"18.600000381";"0 a 0.5";"6.9983000755";"41.329498291";"2004-03-23";\N
"96";"1010";"10109";"24.700000763";"0 a 0.5";"9.8964099884";"60.086399078";"2004-07-19";\N
"97";"1010";"10101";"17.5";"0 a 0.5";"3.7145500183";"28.076099396";"2004-07-19";\N
"98";"1010";"10102";"47";"0 a 0.5";"11.84679985";"31.492300034";"2004-07-20";\N
"99";"1010";"10110";"42.5";"0 a 0.5";"10.536100388";"28.543899536";"2004-07-21";\N
"100";"1010";"10111";"41.5";"0 a 0.5";"5.03455019";"35.991901398";"2004-07-21";\N
"101";"1010";"10112";"10.100000381";"0 a 0.5";"0.5747539997";"32.310100555";"2004-07-19";\N
"102";"1010";"10113";"23";"0 a 0.5";"3.5828299522";"68.491897583";"2004-07-20";\N
"103";"1010";"10114";"10.399999619";"0 a 0.5";"2.6145999432";"38.591598511";"2004-07-20";\N
"104";"1010";"10115";"16.700000763";"0 a 0.5";"4.4127497673";"2.5337200165";"2004-07-19";\N
"105";"1012";"10194";"3";\N;"0.2030179948";"24.18129921";"2006-11-27";"16:56:00"
"106";"1012";"10195";"28.299999237";\N;"7.1256799698";"22.01499939";"2006-11-28";"09:10:00"
"107";"1012";"10196";"16.5";\N;"10.321800232";"16.415500641";"2006-11-27";"08:47:00"
"108";"1012";"10197";"27.399999619";\N;"16.133600235";"20.912900925";"2006-11-27";"09:27:00"
"109";"1012";"10198";"27.700000763";\N;"7.4002299309";"15.872900009";"2006-11-27";"10:00:00"
"110";"1012";"10199";"11.600000381";\N;"5.2722301483";"10.190899849";"2006-11-27";"10:48:00"
"111";"1012";"10200";"8.5";\N;"6.6309499741";"26.916999817";"2006-11-27";"11:22:00"
"112";"1012";"10201";"46.299999237";\N;"7.3069601059";"-0.261819988";"2006-11-28";"08:09:00"
"113";"1012";"10202";"41";\N;"7.0109200478";"7.8732099533";"2006-11-29";"11:42:00"
"114";"1012";"10203";"40";\N;"1.163310051";"2.1804699898";"2006-11-29";"12:15:00"
"115";"1012";"10204";"19.799999237";\N;"8.8492498398";"3.4878599644";"2006-11-28";"11:14:00"
"116";"1014";"10194";"2";\N;"-0.284500986";"17.178899765";"2007-03-21";"11:00:00"
"117";"1014";"10196";"18.600000381";\N;"5.9986000061";"11.230099678";"2007-03-19";"08:55:00"
"118";"1014";"10197";"27.399999619";\N;"5.2850599289";"12.955900192";"2007-03-19";"09:20:00"
"119";"1014";"10198";"30";\N;"10.426199913";"15.378000259";"2007-03-19";"10:10:00"
"120";"1014";"10199";"14";\N;"7.1599998474";"6.7472801208";"2007-03-19";"10:54:00"
"121";"1014";"10200";"11";\N;"4.5475301743";"20.111499786";"2007-03-19";"11:47:00"
"122";"1014";"10201";"47";\N;"7.0623598099";"5.0858101845";"2007-03-20";"16:12:00"
"123";"1014";"10202";"43.599998474";\N;"16.304000854";"9.6246795654";"2007-03-21";"16:06:00"
"124";"1014";"10203";"42.099998474";\N;"-9.743849754";"-5.658400059";"2007-03-21";"16:38:00"
"125";"1014";"10204";"22.600000381";\N;"17.832000732";"13.964599609";"2007-03-20";"12:07:00"
"126";"1016";"10194";"2.5";\N;"0.3795590103";"9.1225595474";"2007-07-17";"16:30:00"
"127";"1016";"10196";"17.399999619";\N;"6.3888301849";"13.28219986";"2007-07-16";"09:05:00"
"128";"1016";"10197";"26.200000763";\N;"13.591099739";"19.294300079";"2007-07-16";"09:30:00"
"129";"1016";"10198";"28.700000763";\N;"11.350399971";"12.012299538";"2007-07-16";"10:45:00"
"130";"1016";"10199";"11.300000191";\N;"2.1150801182";"14.797499657";"2007-07-16";"12:10:00"
"131";"1016";"10200";"6.0999999046";\N;"3.0339100361";"9.5556402206";"2007-07-16";"13:00:00"
