"idVariaveisFisicasQuimicasDaAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"secchi";"batimetria";"F";"Cl";"NNO3";"PPO43";"SSO42";"Li";"Na";"NNH4";"K";"Mg";"Ca";"clorofila";"feofitina";"turbidez";"NT";"PT";"TDC"
"40";"206";"2069";"2007-07-26";"12:08:00";"20";\N;"24";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.5551000237";"82.451599121";"7.0100002289"
"41";"204";"2070";"2007-03-27";"09:38:00";"0";"0.5";"7";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.1570500135";"93.61289978";"5.2829999924"
"42";"204";"2070";"2007-03-27";"09:38:00";"6.5";\N;"7";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.2622400522";"81.806396484";"7.6700000763"
"43";"204";"2071";"2007-03-27";"08:58:00";"0";"0.3000000119";"2.0999999046";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.104460001";"89.806396484";"7.8639998436"
"44";"206";"2072";"2007-07-26";"11:43:00";"0";"0.3000000119";"2";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.3681530058";"76.645202637";"8.013999939"
"45";"804";"8110";"2003-11-18";\N;"0";"3.5999999046";"96";"27.001199722";"0.6014149785";"24.928499222";\N;"105.83999634";"1.4332799911";"0.4742560089";"6.9912600517";"0.3570010066";"1.0152900219";"6.4683499336";"2.9294300079";"0.3152709901";\N;\N;\N;\N
"46";"804";"8110";"2003-11-18";\N;"90";\N;"96";"43.116500854";"0.4896529913";"17.035100937";"47.759799957";"398.83999634";"1.4332799911";"1.8205000162";"41.947601318";"0";"2.2142300606";"7.2238497734";\N;\N;\N;\N;\N;\N
"47";"804";"8112";"2003-11-19";\N;"0";"4.8000001907";"29";"21.081399918";"0.1107129976";"16.300800323";"46.128200531";"62.173301697";"2.8665599823";"0.1010859981";"6.9912600517";"0.0716655999";"0.5017910004";"2.4214799404";"3.6260700226";"0.2875849903";"14";\N;\N;\N
"48";"804";"8112";"2003-11-19";\N;"55";\N;"29";"67.124900818";"0.4621500075";"17.769300461";"44.822898865";"60.173301697";"2.8665599823";"0.3136509955";"426.4670105";"0.1844719946";"0.4635779858";"2.5858700275";\N;\N;"17";\N;\N;\N
"49";"804";"8113";"2003-11-19";\N;"0";\N;"27";"20.09469986";"0.3351089954";"19.604999542";"130.97000122";"776.84002686";"2.8665599823";"1.9385900497";"6.9912600517";"0.2309219986";"0.7454019785";"2.981110096";"2.8579800129";"0.4554910064";"13";\N;\N;\N
"50";"804";"8114";"2003-11-21";\N;"0";"0.8999999762";"7.5";"63.507198334";"0.3844409883";"44.019500732";\N;"149.50700378";"1.4332799911";"1.2678300142";"59.425701141";"0.7750499845";"1.4738500118";"5.9331898689";"5.8008098602";"1.2981499434";"17";\N;\N;\N
"51";"804";"8115";"2003-11-21";\N;"0";"0.8999999762";"36";"41.472099304";"0.7913209796";"144.98199463";"47.759799957";"302.17300415";"1.4332799911";"1.6315499544";"0";"1.252820015";"3.7785999775";"8.4725399017";\N;\N;"17.399999619";\N;\N;\N
"52";"804";"8115";"2003-11-21";\N;"24";\N;"36";"57.587299347";"1.0074199438";"75.042396545";"78.10710144";"843.17297363";"1.4332799911";"2.930560112";"6.9912600517";"0.6688789725";"2.2882699966";"9.9450902939";\N;\N;"13.300000191";\N;\N;\N
"53";"807";"8127";"2004-03-17";\N;"0";\N;"2";"165.65699768";"0.5458750129";"114.90499878";"0";"622.73699951";"0.0024069301";"1.0183900595";"0";"0.8588119745";"1.6936399937";"5.1798000336";"3.1527099609";"1.0672800541";\N;\N;\N;\N
"54";"810";"8127";"2004-07-13";\N;"0";\N;"2";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.8041000366";"0.6028559804";\N;"0.0483000018";"14.677399635";"11.449999809"
"55";"807";"8128";"2004-03-15";\N;"0";"4.5";"26.399999619";"21.657100677";"1.6679999828";"1.7010799646";"0";"83.848503113";"0.0024069301";"0.6540549994";"37.333301544";"0.4906040132";"1.5818200111";"4.1529197693";"3.6617898941";"0.7645109892";\N;\N;\N;\N
"56";"807";"8128";"2004-03-15";\N;"26";\N;"26.399999619";"17.657100677";"0.5358750224";"0";"0";"34.555599213";"0";"0.130320996";"43.166698456";"0.0716100037";"0.1590909958";"0.985705018";\N;\N;\N;\N;\N;\N
"57";"807";"8129";"2004-03-16";\N;"0";"5";"56";"41.371398926";"2.1405000687";"0";"0";"93.141403198";"0.0024069301";"0.7521460056";"0";"0.531234026";"1.7681800127";"3.920789957";"2.1434900761";"0.513544023";\N;\N;\N;\N
"58";"807";"8129";"2004-03-16";\N;"53";\N;"56";"19.371400833";"4.0046200752";"72.905403137";"0";"12.838399887";"0.0024069301";"0.5104219913";"0";"0.2214320004";"0.3663640022";"0.9935740232";\N;\N;\N;\N;\N;\N
"59";"807";"8130";"2004-03-16";\N;"0";"4.9000000954";"35.5";"40.228599548";"2.3883800507";"0.6473119855";"0";"92.535400391";"0.0024069301";"0.6820809841";"21.777799606";"0.5845609903";"1.7354500294";"3.8499701023";"3.5546200275";"0.7466480136";\N;\N;\N;\N
"60";"807";"8130";"2004-03-16";\N;"63";\N;"35.5";"34.5143013";"2.9518699646";"0";"0";"19.50510025";"0.0024069301";"0.7381330132";"288.16699219";"0.6277300119";"1.7690900564";"3.6427500248";\N;\N;\N;\N;\N;\N
"61";"807";"8131";"2004-03-18";\N;"0";"3.7000000477";"15";"10.800000191";"1.535869956";"13.744099617";"0";"61.626300812";"0.0024069301";"0.4491150081";"0";"0.4118840098";"1.1772700548";"2.8086600304";"4.0637001991";"0.6439390182";\N;\N;\N;\N
"62";"807";"8131";"2004-03-18";\N;"21";\N;"15";"5.3714299202";"58.554100037";"12.840900421";"22563.699219";"16826.599609";"0.0029418101";"38.573101044";"356.22198486";"2.6084299088";"0.0790909007";"0.4965249896";\N;\N;\N;\N;\N;\N
"63";"810";"8131";"2004-07-14";\N;"0";"4";"21.200000763";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"3.7893800735";"1.0334700346";\N;"0.1932000071";"8.8387098312";"13.390000343"
