"idCampanha";"idTabela"
"1602";"24"
"1605";"24"
"1608";"24"
"802";"25"
"806";"25"
"809";"25"
"1006";"25"
"1009";"25"
"1202";"25"
"1205";"25"
"1208";"25"
"1302";"25"
"1306";"25"
"1310";"25"
"1402";"25"
"1405";"25"
"1408";"25"
"1502";"25"
"1505";"25"
"1508";"25"
"1602";"25"
"1605";"25"
"1608";"25"
"806";"26"
"809";"26"
"1006";"26"
"1009";"26"
"1202";"26"
"1205";"26"
"1208";"26"
"1302";"26"
"1306";"26"
"1310";"26"
"1402";"26"
"1405";"26"
"1408";"26"
"1502";"26"
"1505";"26"
"1508";"26"
"1602";"26"
"1605";"26"
"1608";"26"
"802";"29"
"806";"29"
"809";"29"
"1002";"29"
"1006";"29"
"1009";"29"
"1202";"29"
"1205";"29"
"1208";"29"
"1302";"29"
"1306";"29"
"1310";"29"
