"idAguaMateriaOrganicaSedimento";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"batimetria";"agua";"materiaOrganica"
"117";"206";"2062";"2007-07-26";"12:52:00";"0.5";"5.5";"73.043701172";"14.685899734497"
"118";"206";"2062";"2007-07-26";"12:52:00";"1.5";"5.5";"68.654197693";"14.793600082397"
"119";"206";"2062";"2007-07-26";"12:52:00";"2.5";"5.5";"67.061500549";"14.729499816895"
"120";"206";"2062";"2007-07-26";"12:52:00";"3.5";"5.5";"66.414100647";"14.589699745178"
"121";"202";"2063";"2006-11-21";"10:55:00";"0.5";"6.5999999046";"78.456802368";"15.143099784851"
"122";"202";"2063";"2006-11-21";"10:55:00";"1.5";"6.5999999046";"74.919197083";"15.057700157166"
"123";"202";"2063";"2006-11-21";"10:55:00";"2.5";"6.5999999046";"72.060302734";"15.145299911499"
"124";"202";"2063";"2006-11-21";"10:55:00";"3.5";"6.5999999046";"70.097503662";"15.205699920654"
"125";"202";"2064";"2006-11-21";"09:18:00";"0.5";"21.600000381";"82.455596924";"17.24340057373"
"126";"202";"2064";"2006-11-21";"09:18:00";"1.5";"21.600000381";"77.643302917";"17.023199081421"
"127";"202";"2064";"2006-11-21";"09:18:00";"2.5";"21.600000381";"75.087097168";"16.900400161743"
"128";"202";"2064";"2006-11-21";"09:18:00";"3.5";"21.600000381";"74.5184021";"17.007699966431"
"129";"202";"2065";"2006-11-21";"10:24:00";"0.5";"1.2000000477";"81.383499146";"17.176200866699"
"130";"202";"2065";"2006-11-21";"10:24:00";"1.5";"1.2000000477";"77.791297913";"16.691799163818"
"131";"202";"2065";"2006-11-21";"10:24:00";"2.5";"1.2000000477";"75.678596497";"17.041000366211"
"132";"202";"2065";"2006-11-21";"10:24:00";"3.5";"1.2000000477";"73.571601868";"16.620199203491"
"133";"204";"2066";"2007-03-28";"09:42:00";"0.5";"40";"85.470901489";"17.252799987793"
"134";"204";"2066";"2007-03-28";"09:42:00";"1.5";"40";"80.141998291";"16.910600662231"
"135";"204";"2066";"2007-03-28";"09:42:00";"2.5";"40";"75.60369873";"16.784900665283"
"136";"204";"2066";"2007-03-28";"09:42:00";"3.5";"40";"79.007896423";"17.066400527954"
"137";"206";"2066";"2007-07-25";"09:44:00";"0.5";"31.100000381";"90.307998657";"18.683300018311"
"138";"206";"2066";"2007-07-25";"09:44:00";"1.5";"31.100000381";"88.270401001";"18.347999572754"
"139";"206";"2066";"2007-07-25";"09:44:00";"2.5";"31.100000381";"84.308097839";"17.015199661255"
"140";"206";"2066";"2007-07-25";"09:44:00";"3.5";"31.100000381";"80.253997803";"16.266199111938"
"141";"204";"2067";"2007-03-28";"08:57:00";"0.5";"55";"87.544998169";"17.64049911499"
"142";"204";"2067";"2007-03-28";"08:57:00";"1.5";"55";"84.359397888";"17.654899597168"
"143";"204";"2067";"2007-03-28";"08:57:00";"2.5";"55";"83.995903015";"17.352800369263"
"144";"204";"2067";"2007-03-28";"08:57:00";"3.5";"55";"82.776901245";"16.562000274658"
"145";"206";"2067";"2007-07-25";"08:55:00";"0.5";"48.5";"87.968902588";"18.46489906311"
"146";"206";"2067";"2007-07-25";"08:55:00";"1.5";"48.5";"85.032096863";"17.16130065918"
"147";"206";"2067";"2007-07-25";"08:55:00";"2.5";"48.5";"77.655601501";"18.304000854492"
"148";"206";"2067";"2007-07-25";"08:55:00";"3.5";"48.5";"85.574401855";"18.458599090576"
"149";"204";"2068";"2007-03-28";"09:17:00";"0.5";"55";"90.054100037";"17.547100067139"
"150";"204";"2068";"2007-03-28";"09:17:00";"1.5";"55";"85.654602051";"17.41609954834"
"151";"204";"2068";"2007-03-28";"09:17:00";"2.5";"55";"84.400901794";"17.488500595093"
"152";"204";"2068";"2007-03-28";"09:17:00";"3.5";"55";"81.970298767";"16.507299423218"
"153";"206";"2068";"2007-07-25";"09:15:00";"0.5";"50.5";"89.386299133";"18.704000473022"
"154";"206";"2068";"2007-07-25";"09:15:00";"1.5";"50.5";"86.320503235";"18.394199371338"
"155";"206";"2068";"2007-07-25";"09:15:00";"2.5";"50.5";"87.302398682";"18.641000747681"
"156";"206";"2068";"2007-07-25";"09:15:00";"3.5";"50.5";"84.603996277";"17.83219909668"
"157";"204";"2069";"2007-03-27";"10:10:00";"0.5";"31.5";"87.721199036";"17.474300384521"
"158";"204";"2069";"2007-03-27";"10:10:00";"1.5";"31.5";"81.835800171";"16.547399520874"
"159";"204";"2069";"2007-03-27";"10:10:00";"2.5";"31.5";"78.0809021";"16.459899902344"
"160";"204";"2069";"2007-03-27";"10:10:00";"3.5";"31.5";"74.936500549";"16.356100082397"
"161";"206";"2069";"2007-07-26";"12:08:00";"0.5";"24";"82.830200195";"17.909000396729"
"162";"206";"2069";"2007-07-26";"12:08:00";"1.5";"24";"78.498497009";"17.291599273682"
"163";"206";"2069";"2007-07-26";"12:08:00";"2.5";"24";"76.299201965";"17.229000091553"
"164";"206";"2069";"2007-07-26";"12:08:00";"3.5";"24";"74.526901245";"17.359800338745"
"165";"204";"2070";"2007-03-27";"09:38:00";"0.5";"7";"82.157402039";"15.867400169373"
"166";"204";"2070";"2007-03-27";"09:38:00";"1.5";"7";"77.495201111";"16.145399093628"
"167";"204";"2070";"2007-03-27";"09:38:00";"2.5";"7";"75.170097351";"15.497799873352"
"168";"204";"2070";"2007-03-27";"09:38:00";"3.5";"7";"72.816101074";"15.421699523926"
"169";"204";"2071";"2007-03-27";"08:58:00";"0.5";"2.0999999046";"40.148101807";"4.3574299812317"
"170";"204";"2071";"2007-03-27";"08:58:00";"1.5";"2.0999999046";"37.860900879";"4.4221601486206"
"171";"204";"2071";"2007-03-27";"08:58:00";"2.5";"2.0999999046";"38.524600983";"5.0634098052979"
"172";"204";"2071";"2007-03-27";"08:58:00";"3.5";"2.0999999046";"46.797401428";"6.6112999916077"
