"idCarbono";"idCampanha";"idSitio";"dataMedida";"horaMedida";"DC";"DOC";"POC";"TOC";"DIC";"TC"
"174";"1401";"14029";"2005-11-15";"17:40:00";\N;"0.6000000238";"0.5699999928";"1.1699999571";"0.1099999994";"1.2799999714"
"175";"1401";"14030";"2005-11-15";"16:00:00";\N;"0.8000000119";"0.5400000215";"1.3400000334";"0.1000000015";"1.4400000572"
"176";"1404";"14049";"2006-03-26";"11:20:00";\N;"0.7300000191";"1.3799999952";"2.1099998951";"0.2899999917";"2.4000000954"
"177";"1404";"14050";"2006-03-26";"11:56:00";\N;"0.8199999928";"1.3099999428";"2.1300001144";"0.3899999857";"2.5199999809"
"178";"1404";"14051";"2006-03-26";"12:40:00";\N;"0.5099999905";"0.3899999857";"0.5099999905";"0.5799999833";"1.0900000334"
"179";"1404";"14052";"2006-03-26";"13:25:00";\N;"0.6499999762";"1.7999999523";"2.4500000477";"0.4799999893";"2.9300000668"
"180";"1404";"14053";"2006-03-27";"10:20:00";\N;"1.1000000238";"1.7100000381";"2.8099999428";"2.3099999428";"5.1199998856"
"181";"1404";"14054";"2006-03-27";"12:25:00";\N;"1.2000000477";"0.5899999738";"1.7899999619";"1.5";"3.2899999619"
"182";"1404";"14055";"2006-03-27";"15:35:00";\N;"0.8500000238";"0.6299999952";"1.4800000191";"1.0399999619";"2.5199999809"
"183";"1404";"14056";"2006-03-27";"16:40:00";\N;"0.6700000167";"1.6000000238";"2.2699999809";"1.0599999428";"3.3299999237"
"184";"1404";"14057";"2006-03-27";"17:05:00";\N;"0.3899999857";"1.9900000095";"1.9900000095";"0.6999999881";"2.6900000572"
"185";"1404";"14058";"2006-03-28";"16:00:00";\N;"1.1100000143";"0.4600000083";"1.5700000525";"1.7000000477";"3.2699999809"
"186";"1404";"14059";"2006-03-28";"17:15:00";\N;"1.2799999714";"0.5299999714";"1.8099999428";"0.9499999881";"2.7599999905"
"187";"1407";"14070";"2006-08-11";"15:15:00";\N;"1.1000000238";"0.4300000072";"1.5299999714";"1.3600000143";"2.8900001049"
"188";"1407";"14071";"2006-08-11";"14:50:00";\N;"0.7400000095";"0.3899999857";"0.7400000095";"3.3699998856";"4.1100001335"
"189";"1407";"14072";"2006-08-11";"12:10:00";\N;"0.3700000048";"0.3899999857";"0.3700000048";"1.1200000048";"1.4900000095"
"190";"1407";"14073";"2006-08-11";"11:15:00";\N;"1.9700000286";"0.3899999857";"1.9700000286";"0.8299999833";"2.7999999523"
"191";"1407";"14074";"2006-08-11";"11:35:00";\N;"0.3899999857";"0.3899999857";"0.3899999857";"4.2399997711";"4.2399997711"
"192";"1407";"14075";"2006-08-11";"14:20:00";\N;"0.0500000007";"0.3899999857";"0.0500000007";"4.3299999237";"4.3800001144"
"193";"1501";"15001";"2005-11-20";"16:00:00";\N;\N;"0.3899999857";\N;\N;\N
"194";"1504";"15001";"2006-04-02";"16:10:00";\N;"1.7300000191";"0.5299999714";"2.2599999905";"1.6299999952";"3.8900001049"
"195";"1504";"15011";"2006-04-05";"15:45:00";\N;"1.5199999809";"1";"2.5199999809";"1.1399999857";"3.6600000858"
"196";"1501";"15023";"2005-11-20";\N;\N;"4.75";"1.9900000095";"6.7399997711";"1.2899999619";"8.029999733"
"197";"1501";"15024";"2005-11-21";"13:40:00";\N;"1.9800000191";"2.7699999809";"4.75";"3.9000000954";"8.6499996185"
"198";"1501";"15025";"2005-11-21";"16:00:00";\N;\N;"0.9700000286";"0.9700000286";\N;"0.9700000286"
"199";"1501";"15026";"2005-11-22";"17:25:00";\N;"1.1599999666";"1.2599999905";"2.7599999905";"1.3700000048";"4.1300001144"
"200";"1501";"15027";"2005-11-22";\N;\N;"3.0599999428";"2.0299999714";"5.0900001526";"0.9499999881";"6.0399999619"
"201";"1501";"15028";"2005-11-22";"13:14:00";\N;"1.9500000477";"5.2899999619";"7.2399997711";"2.6300001144";"9.8699998856"
"202";"1501";"15029";"2005-11-22";"15:26:00";\N;"1.1499999762";"1.5900000334";"2.7400000095";"2.0899999142";"4.8299999237"
"203";"1501";"15030";"2005-11-22";"17:48:00";\N;"1.0099999905";"3.3299999237";"4.3400001526";"2.9900000095";"7.3299999237"
"204";"1501";"15031";"2005-11-23";"11:09:00";\N;"1.3799999952";"2.5999999046";"3.9800000191";"0.5500000119";"4.5300002098"
"205";"1501";"15032";"2005-11-23";"13:05:00";\N;"0.9399999976";"1.9500000477";"2.8900001049";"0.5699999928";"3.4600000381"
"206";"1501";"15033";"2005-11-23";"13:40:00";\N;"0.6299999952";"3.0299999714";"3.6600000858";"1.1399999857";"4.8000001907"
"207";"1501";"15034";"2005-11-23";"14:20:00";\N;"7.6199998856";"3.0799999237";"10.699999809";"2.0399999619";"12.739999771"
"208";"1501";"15035";"2005-11-23";"15:15:00";\N;"1.6599999666";"0.5299999714";"2.1900000572";"1.8300000429";"4.0199999809"
"209";"1501";"15036";"2005-11-25";"12:45:00";\N;"1.5199999809";"4.6999998093";"6.2199997902";"0.3799999952";"6.5999999046"
"210";"1501";"15037";"2005-11-25";"14:25:00";\N;"1.1299999952";"1.3799999952";"2.5099999905";"7.3200001717";"9.8299999237"
"211";"1501";"15038";"2005-11-26";"11:50:00";\N;"4.7100000381";"4.1199998856";"8.8299999237";"0.5099999905";"9.3400001526"
"212";"1501";"15039";"2005-11-26";"13:40:00";\N;"1.1699999571";"3.7300000191";"4.9000000954";"1.5499999523";"6.4499998093"
"213";"1507";"15039";"2006-08-01";"15:10:00";\N;"1.7699999809";"0.7099999785";"0.5299999714";"0.5299999714";"1.2400000095"
"214";"1501";"15040";"2005-11-26";"16:25:00";\N;"3.1099998951";"3.8900001049";"7";"1.3799999952";"8.3800001144"
"215";"1504";"15040";"2006-04-07";"15:20:00";\N;"1.5700000525";"1.1000000238";"2.6700000763";"1.6100000143";"4.2800002098"
"216";"1501";"15041";"2005-11-27";"11:30:00";\N;"2.6099998951";"1";"3.6099998951";"7.5599999428";"11.170000076"
"217";"1507";"15041";"2006-08-02";"10:30:00";\N;"6.0500001907";"1.9700000286";"1.5";"1.5";"3.4700000286"
"218";"1501";"15042";"2005-11-27";"13:20:00";\N;"5.2800002098";"0.8000000119";"6.0799999237";"0.7799999714";"6.8600001335"
"219";"1504";"15042";"2006-04-08";"12:30:00";\N;"1.6000000238";"0.9700000286";"2.5699999332";"1.2200000286";"3.7899999619"
"220";"1507";"15042";"2006-08-02";"12:10:00";\N;"2.4300000668";"0.7099999785";"2.0599999428";"2.0599999428";"2.7699999809"
"221";"1501";"15043";"2005-11-27";"14:00:00";\N;"1.1900000572";"8.3599996567";"9.5500001907";"0.9100000262";"10.460000038"
