"idConcentracaoGasAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"batimetria";"altura";"replica";"CH4";"CO2"
"86";"204";"2071";"2007-03-27";"08:58:00";"2.0999999046";"0.5";\N;"0.0614930987";"0.3548870087"
"87";"206";"2053";"2007-07-23";"14:44:00";"0.5";"10";\N;"4.7868901e-4";"0.0783789009"
"88";"206";"2053";"2007-07-23";"14:44:00";"0.5";"5";\N;"0.00193755";"0.069037199"
"89";"206";"2053";"2007-07-23";"14:44:00";"0.5";"0.5";\N;"0.00148598";"0.081417501"
"90";"206";"2054";"2007-07-25";"10:00:00";"42";"10";\N;"0.0010803899";"0.0874288976"
"91";"206";"2054";"2007-07-25";"10:00:00";"42";"5";\N;"0.0052207401";"0.1200509965"
"92";"206";"2054";"2007-07-25";"10:00:00";"42";"0.5";\N;"0.0294979997";"0.1619399935"
"93";"206";"2067";"2007-07-25";"08:55:00";"48.5";"10";\N;"0.0176761001";"0.0847065002"
"94";"206";"2067";"2007-07-25";"08:55:00";"48.5";"5";\N;"0.0195646994";"0.1062619984"
"95";"206";"2067";"2007-07-25";"08:55:00";"48.5";"0.5";\N;"0.0148165999";"0.1120499969"
"96";"206";"2068";"2007-07-25";"09:15:00";"50.5";"10";\N;"0.0343530998";"0.1400980055"
"97";"206";"2068";"2007-07-25";"09:15:00";"50.5";"5";\N;"0.0380598009";"0.1330669969"
"98";"206";"2068";"2007-07-25";"09:15:00";"50.5";"0.5";\N;"0.0421792008";"0.1402290016"
"99";"206";"2066";"2007-07-25";"09:44:00";"31.100000381";"10";\N;"0.0148826996";"0.1393129975"
"100";"206";"2066";"2007-07-25";"09:44:00";"31.100000381";"5";\N;"0.0151517997";"0.1517670006"
"101";"206";"2066";"2007-07-25";"09:44:00";"31.100000381";"0.5";\N;"0.0272509996";"0.1688970029"
"102";"206";"2055";"2007-07-24";"11:15:00";"26.5";"10";\N;"0.001762";"0.0798942968"
"103";"206";"2055";"2007-07-24";"11:15:00";"26.5";"5";\N;"0.00100609";"0.0788033009"
"104";"206";"2055";"2007-07-24";"11:15:00";"26.5";"0.5";\N;"0.0015498101";"0.1105320007"
"105";"206";"2056";"2007-07-24";"10:50:00";"46.5";"10";\N;"0.0379166007";"0.1333819926"
"106";"206";"2056";"2007-07-24";"10:50:00";"46.5";"5";\N;"0.0341910012";"0.1484809965"
"107";"206";"2056";"2007-07-24";"10:50:00";"46.5";"0.5";\N;"0.0373505987";"0.146577999"
"108";"206";"2057";"2007-07-24";"10:22:00";"41.5";"10";\N;"0.0446661003";"0.1223059967"
"109";"206";"2057";"2007-07-24";"10:22:00";"41.5";"5";\N;"0.0415275991";"0.1516769975"
"110";"206";"2057";"2007-07-24";"10:22:00";"41.5";"0.5";\N;"0.0364465006";"0.1485320032"
"111";"206";"2058";"2007-07-24";"10:04:00";"35";"10";\N;"0.0014241301";"0.0954144001"
"112";"206";"2058";"2007-07-24";"10:04:00";"35";"5";\N;"0.0019727";"0.1004379988"
