"idBolhas";"idCampanha";"idSitio";"profundidade";"nroDeFunis";"volumeColetado";"CO2";"O2";"N2";"CH4";"N2O";"dataMedida";"horaMedida"
"170";"1015";"10129";"5";"6";"124";"0.4149999917";"7.9099998474";"32.840000153";"20.209999084";"0.0379999988";"2007-07-19";"07:40:00"
"171";"1015";"10129";"10";"5";"30";"0.1030000001";"3.5699999332";"13.630000114";"2.8399999142";"0.0099999998";"2007-07-19";"07:50:00"
"172";"1015";"10129";"20.5";"5";"0";"0";"0";"0";"0";"0";"2007-07-19";"08:05:00"
"173";"1015";"10185";"5";"5";"110";"0.0450000018";"16.88999939";"49.619998932";"17.840000153";"0.1080000028";"2007-07-18";"11:30:00"
"174";"1015";"10185";"10";"6";"145";"0.1620000005";"11.289999962";"31.479999542";"13.06000042";"0.0689999983";"2007-07-18";"11:20:00"
"175";"1015";"10185";"18";"5";"35";"0.0659999996";"7.7300000191";"25.209999084";"3.3599998951";"0.0299999993";"2007-07-18";"11:13:00"
"176";"1015";"10186";"5";"5";"163";"0.4070000052";"3.8499999046";"27.209999084";"20.309999466";"0.0700000003";"2007-07-17";"09:05:00"
"177";"1015";"10186";"10";"6";"110";"0.4040000141";"5.0799999237";"30.350000381";"25.909999847";"0.0689999983";"2007-07-17";"09:00:00"
"178";"1015";"10186";"17";"5";"63";"0.0869999975";"3.3699998856";"14.220000267";"2.2899999619";"0.0209999997";"2007-07-17";"08:50:00"
"179";"1201";"12003";"5";"3";"200";"0.6999999881";"19";"95.199996948";"54.900001526";"0.4699999988";"2004-11-24";"11:45:00"
"180";"1201";"12003";"10";"3";"97";"0.200000003";"12.300000191";"43.200000763";"26";"0.3700000048";"2004-11-24";"12:10:00"
"181";"1201";"12003";"20";"2";"55";"0";"14.5";"38.5";"19.799999237";\N;"2004-11-24";"12:25:00"
"182";"1207";"12017";"8";"1";"0";"0";"0";"0";"0";"0";"2005-08-29";"07:10:00"
