"idIonsNaAguaIntersticialDoSedimento";"idCampanha";"idSitio";"profundidade";"batimetria";"F";"Cl";"NO2";"Br";"NO3";"PO4";"SO4";"Na";"NH4";"K";"Mg";"Ca";"acetato";"dataMedida";"horaMedida"
"92";"204";"2060";"3.5";"34";\N;\N;\N;\N;"23.725799561";\N;"517.86700439";\N;"7007.7202148";\N;\N;\N;"17.678300858";"2007-03-28";"10:44:00"
"93";"206";"2060";"0.5";"30";\N;\N;\N;\N;"22.755699158";\N;"1630.5500488";\N;"3438.9499512";\N;\N;\N;"6.7653899193";"2007-07-25";"11:30:00"
"94";"206";"2060";"1.5";"30";\N;\N;\N;\N;"76.758903503";\N;"758.66900635";\N;"4918.8300781";\N;\N;\N;"11.199899673";"2007-07-25";"11:30:00"
"95";"206";"2060";"2.5";"30";\N;\N;\N;\N;"9.2889900208";\N;"450.82501221";\N;"7177.5898438";\N;\N;\N;"14.700900078";"2007-07-25";"11:30:00"
"96";"206";"2060";"3.5";"30";\N;\N;\N;\N;"13.894200325";\N;"299.44198608";\N;"7187.2402344";\N;\N;\N;"15.199500084";"2007-07-25";"11:30:00"
"97";"202";"2061";"0.5";"0.6000000238";\N;\N;\N;\N;"136.2559967";\N;"3290.7099609";\N;"1836.6800537";\N;\N;\N;"4.843269825";"2006-11-22";"10:00:00"
"98";"202";"2061";"1.5";"0.6000000238";\N;\N;\N;\N;"16.706300735";\N;"3509.4399414";\N;"1929.4000244";\N;\N;\N;"3.9023599625";"2006-11-22";"10:00:00"
"99";"202";"2061";"2.5";"0.6000000238";\N;\N;\N;\N;"56.39799881";\N;"3950.2199707";\N;"2359.6398926";\N;\N;\N;"5.3165798187";"2006-11-22";"10:00:00"
"100";"202";"2061";"3.5";"0.6000000238";\N;\N;\N;\N;"49.362201691";\N;"3649.2800293";\N;"2040.6700439";\N;\N;\N;"4.615240097";"2006-11-22";"10:00:00"
"101";"204";"2061";"0.5";"7.3000001907";\N;\N;\N;\N;"36.396900177";\N;"1738.75";\N;"1281.8199463";\N;\N;\N;"4.1325497627";"2007-03-28";"10:21:00"
"102";"204";"2061";"1.5";"7.3000001907";\N;\N;\N;\N;"30.816099167";\N;"251.03799438";\N;"2519.1298828";\N;\N;\N;"3.7025699615";"2007-03-28";"10:21:00"
