"idFluxoBolhasInpe";"idCampanha";"idSitio";"profundidade";"CH4";"CH4_desvioPadrao";"CH4_amostras";"dataMedida";"horaMedida"
"129";"1303";"13118";"3";"2.8682599068";"8.92553043365479";"9";"2005-03-17";"08:00:00"
"130";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"09:00:00"
"131";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"10:00:00"
"132";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"11:00:00"
"133";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"12:00:00"
"134";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"13:00:00"
"135";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"14:00:00"
"136";"1303";"13118";"3";"14.412400246";"28.6720008850098";"9";"2005-03-17";"15:00:00"
"137";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"16:00:00"
"138";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"17:00:00"
"139";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"18:00:00"
"140";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"19:00:00"
"141";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"20:00:00"
"142";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"21:00:00"
"143";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"22:00:00"
"144";"1303";"13118";"3";"0";"0";"9";"2005-03-17";"23:00:00"
"145";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"00:00:00"
"146";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"01:00:00"
"147";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"02:00:00"
"148";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"03:00:00"
"149";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"04:00:00"
"150";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"05:00:00"
"151";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"06:00:00"
"152";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"07:00:00"
"153";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"08:00:00"
"154";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"09:00:00"
"155";"1303";"13118";"3";"26.317399979";"42.9908981323242";"9";"2005-03-18";"10:00:00"
"156";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"11:00:00"
"157";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"12:00:00"
"158";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"13:00:00"
"159";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"14:00:00"
"160";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"15:00:00"
"161";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"16:00:00"
"162";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"17:00:00"
"163";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"18:00:00"
"164";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"19:00:00"
"165";"1303";"13118";"3";"0";"0";"9";"2005-03-18";"20:00:00"
