"idCampoPorTabela";"idTabela";"nome";"rotulo";"unidade";"descricao";"principal";"ordem";"tipo"
"165";"20";"secchi";"Secchi";"m";"Profundidade do disco de Secchi";"sim";"3";"number"
"166";"20";"tempagua";"Temp. da água";"oC";\N;"sim";"4";"number"
"167";"20";"condutividade";"Condutividade";"uS/cm";\N;"sim";"5";"number"
"168";"20";"do";"DO";"mg/L";"Oxigênio dissolvido";"sim";"6";"number"
"169";"20";"ph";"pH";\N;\N;"sim";"7";"number"
"170";"20";"turbidez";"Turbidez";"NTU";\N;"sim";"8";"number"
"171";"20";"materialEmSuspensao";"Material em suspensão";"mg/L";\N;"sim";"9";"number"
"172";"21";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"173";"21";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"174";"21";"profundidade";"Profundidade";"m";"Profundidade de coleta";"sim";"3";"number"
"175";"21";"secchi";"Secchi";"m";"Profundidade do disco de Secchi";"sim";"4";"number"
"176";"21";"tempagua";"Temp. da água";"oC";\N;"sim";"5";"number"
"177";"21";"condutividade";"Condutividade";"uS/cm";\N;"sim";"6";"number"
"178";"21";"do";"DO";"mg/L";"Oxigênio dissolvido";"sim";"7";"number"
"179";"21";"ph";"pH";\N;\N;"sim";"8";"number"
"180";"21";"turbidez";"Turbidez";"NTU";\N;"sim";"9";"number"
"181";"21";"materialEmSuspensao";"Material em suspensão";"mg/L";\N;"sim";"10";"number"
"182";"21";"intensidadeLuminosa";"Intensidade luminosa";"uM/cm2/s";\N;"sim";"11";"number"
"183";"22";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"184";"22";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"185";"22";"dic";"DIC";"mg/L";"Carbono inorgânico dissolvido";"sim";"3";"number"
"186";"22";"nt";"NT";"uM";"Nitrogênio";"sim";"4";"number"
"187";"22";"pt";"PT";"uM";"Fósforo Total";"sim";"5";"number"
"188";"22";"delta13c";"Delta 13C";"por mil";\N;"sim";"6";"number"
"189";"22";"delta15n";"Delta 15N";"por mil";\N;"sim";"7";"number"
"190";"23";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"191";"23";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"192";"23";"profundidade";"Profundidade";"m";"Profundidade de coleta";"sim";"3";"number"
"193";"23";"dic";"DIC";"mg/L";"Carbono inorgânico dissolvido";"sim";"4";"number"
"194";"23";"nt";"NT";"uM";"Nitrogênio";"sim";"5";"number"
"195";"23";"pt";"PT";"uM";"Fósforo Total";"sim";"6";"number"
"196";"23";"delta13c";"Delta 13C";"por mil";\N;"sim";"7";"number"
"197";"23";"delta15n";"Delta 15N";"por mil";\N;"sim";"8";"number"
"198";"24";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"199";"24";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"200";"24";"doc";"DOC";"mg/L";"Carbono orgânico dissolvido";"sim";"3";"number"
