"idNutrientesSedimento";"idCampanha";"idSitio";"profundidade";"batimetria";"N2";"PT";"TC";"dataMedida";"horaMedida"
"93";"206";"2060";"0.5";"30";"3.2133998871";"0.5802900195";"29.88999939";"2007-07-25";"11:30:00"
"94";"206";"2060";"1.5";"30";"3.5302200317";"0.520532012";"32.150001526";"2007-07-25";"11:30:00"
"95";"206";"2060";"2.5";"30";"2.5797700882";"0.5033550262";"26.979999542";"2007-07-25";"11:30:00"
"96";"206";"2060";"3.5";"30";"2.2327899933";"0.4428710043";"24.13999939";"2007-07-25";"11:30:00"
"97";"202";"2061";"0.5";"0.6000000238";"2.7620699406";"0.5778710246";"37.169998169";"2006-11-22";"10:00:00"
"98";"202";"2061";"1.5";"0.6000000238";"2.6773700714";"0.5568230152";"33.909999847";"2006-11-22";"10:00:00"
"99";"202";"2061";"2.5";"0.6000000238";"2.5220899582";"0.575371027";"32.799999237";"2006-11-22";"10:00:00"
"100";"202";"2061";"3.5";"0.6000000238";"2.6303200722";"0.5897259712";"32.520000458";"2006-11-22";"10:00:00"
"101";"204";"2061";"0.5";"7.3000001907";"1.9433300495";"0.5061770082";"29.38999939";"2007-03-28";"10:21:00"
"102";"204";"2061";"1.5";"7.3000001907";"2.3809299469";"0.5452100039";"33.270000458";"2007-03-28";"10:21:00"
"103";"204";"2061";"2.5";"7.3000001907";"2.2679998875";"0.5194839835";"29.790000916";"2007-03-28";"10:21:00"
"104";"204";"2061";"3.5";"7.3000001907";"1.9621499777";"0.5051289797";"24.159999847";"2007-03-28";"10:21:00"
"105";"206";"2061";"0.5";"2.2000000477";"1.9197399616";"0.1144839972";"25.790000916";"2007-07-25";"11:00:00"
"106";"206";"2061";"1.5";"2.2000000477";"1.9084299803";"0.1287579983";"26.780000687";"2007-07-25";"11:00:00"
"107";"206";"2061";"2.5";"2.2000000477";"1.8631700277";"0.1142420024";"27.510000229";"2007-07-25";"11:00:00"
"108";"206";"2061";"3.5";"2.2000000477";"1.8443100452";"0.1244840026";"24.799999237";"2007-07-25";"11:00:00"
"109";"202";"2062";"0.5";"3.4000000954";"2.0327301025";"0.5236769915";"31.680000305";"2006-11-21";"11:44:00"
"110";"202";"2062";"1.5";"3.4000000954";"2.3621098995";"0.5307739973";"32.400001526";"2006-11-21";"11:44:00"
"111";"202";"2062";"2.5";"3.4000000954";"2.3385798931";"0.5183550119";"33.279998779";"2006-11-21";"11:44:00"
"112";"202";"2062";"3.5";"3.4000000954";"2.2209498882";"0.5299680233";"30.620000839";"2006-11-21";"11:44:00"
"113";"204";"2062";"0.5";"11";"2.1786000729";"0.5185160041";"25.940000534";"2007-03-27";"10:53:00"
"114";"204";"2062";"1.5";"11";"2.2727100849";"0.5369030237";"25.659999847";"2007-03-27";"10:53:00"
"115";"204";"2062";"2.5";"11";"2.3197600842";"0.543596983";"25.790000916";"2007-03-27";"10:53:00"
"116";"204";"2062";"3.5";"11";"2.3621098995";"0.5429520011";"24.180000305";"2007-03-27";"10:53:00"
"117";"206";"2062";"0.5";"5.5";"2.1120998859";"1.1020599604";"25.790000916";"2007-07-26";"12:52:00"
"118";"206";"2062";"1.5";"5.5";"1.9310599566";"1.1893199682";"25.239999771";"2007-07-26";"12:52:00"
"119";"206";"2062";"2.5";"5.5";"1.885800004";"1.2012599707";"25.719999313";"2007-07-26";"12:52:00"
"120";"206";"2062";"3.5";"5.5";"1.9612300396";"1.1886800528";"29.899999619";"2007-07-26";"12:52:00"
"121";"202";"2063";"0.5";"6.5999999046";"1.9292099476";"0.8484349847";"23.819999695";"2006-11-21";"10:55:00"
"122";"202";"2063";"1.5";"6.5999999046";"2.0938999653";"0.8156129718";"22.840000153";"2006-11-21";"10:55:00"
"123";"202";"2063";"2.5";"6.5999999046";"1.9950900078";"0.804805994";"21.819999695";"2006-11-21";"10:55:00"
"124";"202";"2063";"3.5";"6.5999999046";"1.952739954";"0.7844840288";"21.059999466";"2006-11-21";"10:55:00"
"125";"202";"2064";"0.5";"21.600000381";"2.8655900955";"0.8998060226";"28.959999084";"2006-11-21";"09:18:00"
"126";"202";"2064";"1.5";"21.600000381";"2.8373599052";"0.8876289725";"28.290000916";"2006-11-21";"09:18:00"
"127";"202";"2064";"2.5";"21.600000381";"2.658550024";"0.8819029927";"27.200000763";"2006-11-21";"09:18:00"
"128";"202";"2064";"3.5";"21.600000381";"2.6256101131";"0.8861770034";"27.38999939";"2006-11-21";"09:18:00"
"129";"202";"2065";"0.5";"1.2000000477";"2.6303200722";"0.8056129813";"31.690000534";"2006-11-21";"10:24:00"
"130";"202";"2065";"1.5";"1.2000000477";"2.6397299767";"0.8344839811";"32.470001221";"2006-11-21";"10:24:00"
"131";"202";"2065";"2.5";"1.2000000477";"2.6397299767";"0.8527899981";"32.979999542";"2006-11-21";"10:24:00"
"132";"202";"2065";"3.5";"1.2000000477";"2.569149971";"0.8991609812";"35.900001526";"2006-11-21";"10:24:00"
"133";"204";"2066";"0.5";"40";"2.6236400604";"0.7570649981";"26.399999619";"2007-03-28";"09:42:00"
"134";"204";"2066";"1.5";"40";"2.540199995";"0.6641610265";"24.340000153";"2007-03-28";"09:42:00"
"135";"204";"2066";"2.5";"40";"2.0581200123";"0.7161769867";"23.209999084";"2007-03-28";"09:42:00"
"136";"204";"2066";"3.5";"40";"2.7070701122";"0.7637580037";"26.790000916";"2007-03-28";"09:42:00"
"137";"206";"2066";"0.5";"31.100000381";"3.2058598995";"0.5553709865";"30.399999619";"2007-07-25";"09:44:00"
"138";"206";"2066";"1.5";"31.100000381";"3.0700800419";"0.5402899981";"29.790000916";"2007-07-25";"09:44:00"
"139";"206";"2066";"2.5";"31.100000381";"2.2090799809";"0.5123869777";"24.909999847";"2007-07-25";"09:44:00"
"140";"206";"2066";"3.5";"31.100000381";"1.8895699978";"0.5240809917";"22.260000229";"2007-07-25";"09:44:00"
"141";"204";"2067";"0.5";"55";"8.3520898819";"0.8338389993";"27.590000153";"2007-03-28";"08:57:00"
"142";"204";"2067";"1.5";"55";"6.3758201599";"0.810289979";"28.909999847";"2007-03-28";"08:57:00"
"143";"204";"2067";"2.5";"55";"5.9758601189";"0.8160160184";"25.969999313";"2007-03-28";"08:57:00"
"144";"204";"2067";"3.5";"55";"3.0585100651";"0.8979520202";"25.170000076";"2007-03-28";"08:57:00"
"145";"206";"2067";"0.5";"48.5";"3.4321599007";"0.5375480056";"32.229999542";"2007-07-25";"08:55:00"
"146";"206";"2067";"1.5";"48.5";"2.9305300713";"0.5291609764";"30.270000458";"2007-07-25";"08:55:00"
"147";"206";"2067";"2.5";"48.5";"2.9229900837";"0.5659350157";"32.5";"2007-07-25";"08:55:00"
"148";"206";"2067";"3.5";"48.5";"2.8051300049";"0.5511770248";"32.150001526";"2007-07-25";"08:55:00"
"149";"204";"2068";"0.5";"55";"3.3125998974";"0.9812579751";"73.269996643";"2007-03-28";"09:17:00"
"150";"204";"2068";"1.5";"55";"3.2561399937";"1.0415799618";"93.169998169";"2007-03-28";"09:17:00"
"151";"204";"2068";"2.5";"55";"2.4844501019";"0.9556130171";"104.5";"2007-03-28";"09:17:00"
"152";"204";"2068";"3.5";"55";"2.6538500786";"0.9921450019";"124.19999695";"2007-03-28";"09:17:00"
"153";"206";"2068";"0.5";"50.5";"3.4133000374";"0.5990809798";"32.11000061";"2007-07-25";"09:15:00"
"154";"206";"2068";"1.5";"50.5";"3.0219900608";"0.63270998";"31.649999619";"2007-07-25";"09:15:00"
"155";"206";"2068";"2.5";"50.5";"2.9544200897";"0.5856130123";"31.059999466";"2007-07-25";"09:15:00"
"156";"206";"2068";"3.5";"50.5";"2.3276200294";"0.6039999723";"25.579999924";"2007-07-25";"09:15:00"
"157";"204";"2069";"0.5";"31.5";"3.7639400959";"0.8344029784";"32";"2007-03-27";"10:10:00"
"158";"204";"2069";"1.5";"31.5";"3.013010025";"0.7493230104";"23.780000687";"2007-03-27";"10:10:00"
"159";"204";"2069";"2.5";"31.5";"2.4196801186";"0.6783549786";"26.549999237";"2007-03-27";"10:10:00"
"160";"204";"2069";"3.5";"31.5";"2.2713499069";"0.6779519916";"23.670000076";"2007-03-27";"10:10:00"
"161";"206";"2069";"0.5";"24";"2.9380800724";"0.5429520011";"31.020000458";"2007-07-26";"12:08:00"
"162";"206";"2069";"1.5";"24";"2.9757900238";"0.5581939816";"30.629999161";"2007-07-26";"12:08:00"
"163";"206";"2069";"2.5";"24";"2.6589798927";"0.5652899742";"30.209999084";"2007-07-26";"12:08:00"
"164";"206";"2069";"3.5";"24";"2.5873200893";"0.5606129766";"29.329999924";"2007-07-26";"12:08:00"
"165";"204";"2070";"0.5";"7";"2.7467799187";"0.7682740092";"28.440000534";"2007-03-27";"09:38:00"
"166";"204";"2070";"1.5";"7";"2.7173700333";"0.7556939721";"27";"2007-03-27";"09:38:00"
"167";"204";"2070";"2.5";"7";"2.4997398853";"0.6634349823";"26.190000534";"2007-03-27";"09:38:00"
"168";"204";"2070";"3.5";"7";"2.2232999802";"0.6841610074";"24.850000381";"2007-03-27";"09:38:00"
"169";"204";"2071";"0.5";"2.0999999046";"0.4799509943";"0.3195649981";"6.5900001526";"2007-03-27";"08:58:00"
